Assay Type,Molecule Name,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,Original Smiles,nM,Inhibitor
B,,210.36,2.24,0.0,IC50,>,10000.0,nM,NCC1CCN(CC2CCCCC2)CC1,10000.0,0
F,,358.92,2.99,0.0,IC50,=,631.0,nM,NCCCCN(Cc1ccc(Cl)cn1)C[C@H]1Cc2ccccc2CN1,631.0,0
B,,578.81,4.11,1.0,IC50,=,3.5,nM,c1ccc(CN(Cc2ccnc(-c3cccc(CN4CCCNCCNCCCNCC4)c3)c2)Cc2ccccn2)nc1,3.5,1
F,,2158.58,,,IC50,=,1.0,nM,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc(F)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O,1.0,1
B,,3207.63,,,IC50,=,73.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,73.0,1
F,,2024.42,,,IC50,=,8.01,nM,NCCCC[C@@H]1NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)c2ccc3ccccc3c2)CSSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C1=O,8.01,1
B,,701.83,-0.26,2.0,IC50,=,6.0,nM,CN1C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]1CCCN,6.0,1
F,,568.77,5.1,2.0,IC50,=,37.0,nM,CC(C)(C)OC(=O)Cn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21,48.0,1
B,,443.72,4.53,0.0,IC50,=,67.6,nM,CNc1cc(CNCCCNC2CCCCC2)cc(CNCCCNC2CCCCC2)c1,67.6,1
B,,584.81,3.41,2.0,IC50,=,93.0,nM,Cc1cc(NC2CCN(CCCCC(=O)O)CC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1,93.0,1
B,,392.52,5.31,1.0,IC50,=,11700.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccc(F)cc2)sc2c1C(C)CCC2,11700.0,0
F,,542.75,4.78,1.0,IC50,=,78.0,nM,NCCCCN(Cc1nccc2c3ccccc3n(CC(=O)N3CCSCC3)c12)[C@H]1CCCc2cccnc21,78.0,1
F,,419.62,3.25,0.0,IC50,=,10.4,nM,CN(C)[C@@H]1CCN(c2cccc3c2C[C@H](CN(C)[C@H]2CCCc4cccnc42)NC3)C1,10.4,1
B,,414.91,3.23,0.0,IC50,>,10000.0,nM,CC1=CCC[C@H]1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)[C@@]2(C)CCOC2)c1O,10000.0,0
B,,729.84,-1.07,2.0,IC50,=,8.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,6.15,1
B,,649.76,-1.71,2.0,IC50,=,10000.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](NC(=O)CCNC(=N)N)C/C=C\C[C@H](C(N)=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,10000.0,0
B,,673.78,-1.2,2.0,IC50,=,16.0,nM,NCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O,16.0,1
B,,3159.8,,,IC50,=,137.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C1(NC(=O)[C@@H](N)CCCCN)Cc2ccccc2C1)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,137.0,1
B,,637.75,-2.0,2.0,IC50,=,130.0,nM,C[C@H]1NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)CNC1=O,130.0,1
B,,714.87,0.84,2.0,IC50,>,10000.0,nM,N=C(N)NCCC[C@H]1CC[C@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,10000.0,0
B,,338.5,4.01,0.0,IC50,=,794.33,nM,COc1ccccc1CN1CCC(CNCc2cccc(C)c2)CC1,794.33,0
F,,460.67,4.05,0.0,IC50,=,24.2,nM,C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCC1CCOCC1,24.2,1
B,,370.5,3.81,0.0,IC50,>,10000.0,nM,CCOC(=O)NC(=S)Nc1sc2c(c1C(=O)OCC)C(C)CCC2,10000.0,0
F,,399.54,4.73,0.0,IC50,=,1340.0,nM,NCCCCN(Cc1nccc2c1[nH]c1ccccc12)[C@@H]1CCCc2cccnc21,1340.0,0
F,,454.58,4.48,0.0,IC50,=,5.0,nM,CO/N=C/c1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c(CN)c1,5.0,1
F,,347.47,3.35,0.0,IC50,=,77.0,nM,NC/C=C\CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,77.0,1
B,,377.36,5.3,1.0,IC50,=,794.33,nM,Cc1cccc(CNCC2CCN(Cc3cccc(Cl)c3Cl)CC2)c1,794.33,0
B,,479.72,4.68,0.0,IC50,=,0.61,nM,CCCN(CCC)CCCCN(C)Cc1ccc(CN(Cc2ncc[nH]2)Cc2nccn2C)cc1,0.61,1
F,,446.64,3.8,0.0,IC50,=,15.5,nM,C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNC1CCOCC1,15.5,1
B,,644.73,-0.32,2.0,IC50,=,63.0,nM,C[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,63.0,1
B,,905.08,-0.24,3.0,IC50,=,3200.0,nM,C[C@H](NC(=O)c1cccc(NC(=N)N)c1)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,3200.0,0
F,,419.62,2.77,0.0,IC50,=,17.0,nM,c1ccc2c(c1)CN[C@@H](CN(CCCN1CCNCC1)[C@H]1CCCc3cccnc31)C2,17.0,1
B,,713.77,2.22,1.0,IC50,>,35000.0,nM,Br.CC(=O)O.c1cc(CN2CCCNCc3cncc(n3)CNCCC2)ccc1CN1CCCNCc2cncc(n2)CNCCC1,35000.0,0
B,,522.56,3.05,1.0,IC50,>,10000.0,nM,O=C(N[C@H]1CCN(CC2CC2)C[C@@H]1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccc(F)cc2F)on1,10000.0,0
B,,698.83,1.0,2.0,IC50,=,31000.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)NC(=O)[C@@H](Cc2ccc3ccccc3c2)/C=C\[C@H](CCCN=C(N)N)NC1=O,31000.0,0
B,,900.1,-2.27,3.0,IC50,>,10000.0,nM,C[C@H](NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,10000.0,0
B,,769.91,-0.2,2.0,IC50,>,30000.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,30000.0,0
F,,495.59,4.77,0.0,IC50,>,10000.0,nM,CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1nc2cc(CC(=O)NC)ccc2o1,10000.0,0
F,,389.53,4.56,0.0,IC50,=,13.0,nM,NCc1cscc1N(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,13.0,1
B,,1208.42,,,IC50,>,1000.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)NCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCNC(=O)[C@@H](CO)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,1000.0,0
F,,564.74,4.03,1.0,IC50,<,4.0,nM,COc1ccc2[nH]c(CNCc3ccc(CN(CCNCc4ccccn4)CCNCc4ccccn4)cc3)nc2c1,4.0,1
B,,577.82,4.71,1.0,IC50,=,7.9,nM,c1ccc(CN(Cc2ccccn2)Cc2ccccc2-c2cccc(CN3CCCNCCNCCCNCC3)c2)nc1,7.9,1
B,,323.44,3.26,0.0,IC50,=,16.6,nM,C[C@@H](c1ccccn1)N(CCCCN)Cc1nc2ccccc2[nH]1,16.6,1
B,,442.65,3.77,0.0,IC50,=,1697.7,nM,O=C(NCCCNC1CCCCC1)c1ccc(C(=O)NCCCNC2CCCCC2)cc1,1697.7,0
B,,417.56,3.32,0.0,IC50,=,16.0,nM,CN(C)CC(=O)NCc1c(CN(C)[C@H]2CCCc3cccnc32)ncc2ccccc12,16.0,1
F,,396.54,2.57,0.0,IC50,=,2.7,nM,Cc1nc(CN2CCC[C@H]2c2ncccc2C)cc(NCCN2CCOCC2)n1,2.7,1
B,,392.55,2.97,0.0,IC50,=,18.0,nM,Cc1nc(CN(C)[C@H]2CCCc3cccnc32)cc(N2CCN3CCC[C@H]3C2)n1,18.0,1
F,,448.66,4.02,0.0,IC50,=,29.4,nM,c1ccc2c(c1)CN[C@@H](CN(CCCCNC1CCOCC1)[C@H]1CCCc3cccnc31)C2,29.4,1
F,,421.59,2.61,0.0,IC50,=,6.0,nM,NCCCCN(C[C@@H]1CN(C(=O)c2ccccc2)CCN1)[C@H]1CCCc2cccnc21,6.0,1
B,,595.87,5.8,2.0,IC50,>,50000.0,nM,CCCCC1C(=O)N(C[C@H]2CC[C@H](OCC)CC2)CCC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2,50000.0,0
B,,715.86,-0.81,2.0,IC50,=,32.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O,32.0,1
B,,382.51,2.14,0.0,IC50,=,25.0,nM,COc1nc(CN(C)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,25.0,1
B,,420.32,2.97,0.0,IC50,=,10.0,nM,N=C(N)NCCCCCNc1noc(Cc2c[nH]c3cc(Br)ccc23)n1,10.0,1
B,,344.48,3.1,0.0,IC50,=,8.0,nM,CN(Cc1ccccc1)S(=O)(=O)c1ccc(CN2CCCC2)cc1,8.0,1
F,,594.81,3.58,1.0,IC50,=,44.0,nM,O=C1CNCCN1CCCn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21,44.0,1
F,,480.65,5.2,1.0,IC50,=,98.0,nM,FC1(F)CCC(NC/C=C\CN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,98.0,1
B,,551.7,3.76,2.0,IC50,=,13.0,nM,C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccc(CNCc2ccccn2)cc1)c1cccc2ccccc12,13.0,1
F,,510.6,5.79,2.0,IC50,>,10000.0,nM,CCCCN(c1nc2cc(NC(=O)NC)ccc2o1)[C@H](C)c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,10000.0,0
B,,342.91,4.65,0.0,IC50,=,2511.89,nM,Cc1cccc(CNCC2CCN(Cc3cccc(Cl)c3)CC2)c1,2511.89,0
B,,511.72,4.11,1.0,IC50,=,5.7,nM,NCCCCN(Cc1nccc2c3ccccc3n(CCN3CCNCC3)c12)C1CCCc2cccnc21,5.7,1
B,,649.85,8.24,3.0,IC50,=,110.0,nM,N=C(NCCCCN(CCCNC(=N)Nc1cccc2ccccc12)C(=N)Nc1cccc2ccccc12)Nc1cccc2ccccc12,110.0,1
B,,432.58,2.53,0.0,IC50,=,1294.0,nM,CN1CCN(c2cc(CN(C)C3CCCc4cccnc43)nc(-c3cnn(C)c3)n2)CC1,1294.0,0
F,,1419.75,,,IC50,=,100000.0,nM,CSCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)O)C(C)C,55096.0,0
F,,503.69,5.36,2.0,IC50,=,60.5,nM,c1cncc(CNCc2ccc(CN(C[C@H]3Cc4ccccc4CN3)[C@H]3CCCc4cccnc43)cc2)c1,60.5,1
B,,3200.69,,,IC50,=,25.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCNC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H]1CCCN1C(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1cnc[nH]1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CO)NC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,25.0,1
B,,3081.73,,,IC50,=,25.0,nM,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,25.0,1
F,,496.72,3.42,0.0,IC50,=,45.5,nM,O=S1(=O)CCC(NCCCCN(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,45.5,1
F,,581.77,3.62,1.0,IC50,=,44.0,nM,O=C(Cn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21)N1CCOCC1,44.0,1
F,,701.83,-0.21,2.0,IC50,=,97.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O,97.0,1
B,,1386.69,,,IC50,>,1000.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCNC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](N)CC(C)C)C(N)=O,1000.0,0
B,,364.54,3.93,0.0,IC50,>,30000.0,nM,NCCCCN(C[C@H]1CCc2ccccc2N1)[C@H]1CCCc2cccnc21,30000.0,0
B,,2036.48,,,IC50,=,1.56,nM,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)C1)C(=O)O,1.56,1
F,,411.55,2.21,0.0,IC50,=,35.0,nM,NCCCCN(C[C@@H]1CN(C(=O)c2ccco2)CCN1)[C@H]1CCCc2cccnc21,35.0,1
B,,3096.74,,,IC50,=,24.92,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)C1)C(=O)O,24.92,1
B,,603.68,-3.45,2.0,IC50,>,1000.0,nM,C[C@@H]1NC(=O)CNC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O,1000.0,0
F,,391.52,2.45,0.0,IC50,=,1.8,nM,Cc1nc(CN2CCC[C@H]2c2ncccc2C)c(C#N)c(N2CCN(C)CC2)n1,1.8,1
F,,275.26,3.18,0.0,IC50,=,3800.0,nM,CSc1nnc(-c2ccc(C(F)(F)F)nc2C)o1,3800.0,0
B,PARAZOANTHINE B,315.33,0.67,0.0,IC50,=,9.3,nM,N=C(N)NCC/C=C1\NC(=O)N(/C=C/c2ccc(O)cc2)C1=O,9.3,1
B,,395.56,2.56,0.0,IC50,=,105.0,nM,CCNc1nc(CN(C)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,105.0,1
B,,700.85,0.38,2.0,IC50,>,1000.0,nM,N=C(N)NCCC[C@H]1NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CC[C@@H](Cc2ccc3ccccc3c2)NC1=O,1000.0,0
F,,392.59,3.99,0.0,IC50,=,24.6,nM,CC(C)(N)CCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,24.6,1
B,,942.14,-2.09,3.0,IC50,>,10000.0,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCCNC(=N)N)NC1=O,10000.0,0
B,,3171.81,,,IC50,=,31.0,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](C/C=C/c1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1)C(=O)O,31.0,1
B,,390.53,4.84,0.0,IC50,>,10000.0,nM,CC(C)(C)OC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCCO2,10000.0,0
F,,472.96,3.03,0.0,IC50,=,0.8,nM,Fc1cnc(Cl)nc1NCc1ccc(CNc2ccnc(NCCN3CCOCC3)n2)cc1,0.8,1
F,,364.54,3.21,0.0,IC50,=,163.0,nM,NCCCCN(Cc1ncccc1C1CC1)C[C@H]1Cc2ccccc2CN1,163.0,1
F,APLAVIROC HYDROCHLORIDE,614.18,4.58,1.0,IC50,=,30000.0,nM,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2.Cl,30000.0,0
F,,404.6,3.87,0.0,IC50,=,150.0,nM,c1ccc2c(c1)CN[C@@H](CN(CCC1CCNCC1)[C@H]1CCCc3cccnc31)C2,150.0,1
B,,454.52,5.5,1.0,IC50,=,26700.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccc3c(c2)OC(F)(F)O3)sc2c1C(C)CCC2,26700.0,0
B,,516.61,1.39,2.0,IC50,=,3000.0,nM,N=C(N)NCCCn1c(C(=O)NCCc2c[nH]c3ccccc23)cc2cc(NC(=O)CNC(=N)N)ccc21,3000.0,0
F,,546.76,5.75,2.0,IC50,=,832.0,nM,c1ccc2c(c1)CN[C@@H](CN(CCCCN(Cc1ccncc1)Cc1ccncc1)[C@H]1CCCc3cccnc31)C2,832.0,0
B,,380.54,2.83,0.0,IC50,=,10.0,nM,CCN1CCN(c2cc(CN(C)[C@H]3CCCc4cccnc43)nc(C)n2)CC1,10.0,1
F,,352.53,4.22,0.0,IC50,=,63.0,nM,CC(C)c1cccnc1CN(CCCCN)C1CCCc2cccnc21,63.0,1
F,,498.68,3.75,0.0,IC50,=,56.0,nM,OCCn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21,56.0,1
B,,479.67,6.07,1.0,IC50,>,10000.0,nM,CC(C)(C)OC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCN(Cc1ccccc1)C2,10000.0,0
B,,367.5,1.72,0.0,IC50,=,23.0,nM,CN1CCN(c2cc(CN(C)C3CCCc4cccnc43)nc(N)n2)CC1,23.0,1
B,,3335.07,,,IC50,=,147.0,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CS)C(=O)N[C@H](CS)C(=O)N[C@H](CC(C)C)C(=O)NCC(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N1CCC[C@@H]1C(=O)NCCCCCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(N)=O,147.0,1
F,,380.54,2.97,0.0,IC50,=,0.4,nM,Cc1nc(CN2CCC[C@H]2c2ncccc2C)cc(N2CCCN(C)CC2)n1,0.4,1
B,,701.83,-0.22,2.0,IC50,>,100000.0,nM,N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC[C@H](CCCN=C(N)N)NC1=O,100000.0,0
