Assay Type,Molecule Name,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,Original Smiles,nM,Inhibitor
B,,390.53,4.59,0.0,IC50,>,30000.0,nM,CC(C)(C)OC(=O)c1c(NC(=S)Nc2ccccc2)sc2c1CCOC2,30000.0,0
B,,1020.25,,,IC50,=,1.5,nM,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H]1CSSC(C)(C)[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC1=O,1.5,1
F,,459.51,5.28,1.0,IC50,>,10000.0,nM,c1ccc(-c2nnn[nH]2)c(-c2ccc(CN(Cc3ccncc3)c3nc4ccccc4o3)cc2)c1,10000.0,0
B,,390.53,4.88,0.0,IC50,>,10000.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccccc2O)sc2c1C(C)CCC2,10000.0,0
F,,450.55,5.87,1.0,IC50,=,3500.0,nM,c1ccc(-c2nnn[nH]2)c(-c2ccc(CN(CC3CCCC3)c3nc4ccccc4o3)cc2)c1,3500.0,0
B,,505.12,2.79,1.0,IC50,=,708.3,nM,Clc1cc(NC2CCNCC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1,708.3,0
B,,380.54,2.7,0.0,IC50,=,25.0,nM,CCc1nc(CN(C)C2CCCc3cccnc32)cc(N2CCN(C)CC2)n1,25.0,1
F,,434.72,5.86,1.0,IC50,=,437.0,nM,CC(C)(C)C1CCC(N/C(=N/C2CCCCC2)SCC2=CSC3=NCCN23)CC1,985.0,0
B,,786.91,0.76,2.0,IC50,>,30000.0,nM,CN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2cccc(F)c2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1CCCNC(N)=O,30000.0,0
B,,384.5,2.58,0.0,IC50,=,12.0,nM,Cc1nc(CN(C)C2CCCc3cccnc32)c(F)c(N2CCN(C)CC2)n1,12.0,1
B,,744.85,0.11,2.0,IC50,=,1000.0,nM,CC(=O)NCCC[C@@H]1C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N1C,1000.0,0
B,,537.76,3.07,2.0,IC50,=,72.1,nM,Cc1cc(NC2CCN(CCC#N)CC2)nc(NCc2cn(CCCNCCCNC3CCCCC3)nn2)n1,72.1,1
B,,392.55,2.97,0.0,IC50,=,70.0,nM,Cc1nc(CN(C)[C@H]2CCCc3cccnc32)cc(N2CCN(C3CC3)CC2)n1,70.0,1
F,,354.5,3.24,0.0,IC50,=,1621.0,nM,COCc1cccc(CN(CCCCN)C2CCCc3cccnc32)n1,1621.0,0
F,,335.46,3.19,0.0,IC50,=,68.0,nM,NCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,68.0,1
B,,751.03,2.5,2.0,IC50,=,69000.0,nM,CNC(=O)COCC(=O)NCCCCNC(=O)COCC(=O)NC[C@H]1CC[C@H](/N=C(\NC2CCCCC2)SCC2=CSC3=NC(C)(C)CN23)CC1,61000.0,0
F,,549.07,4.0,1.0,IC50,>,10000.0,nM,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,10000.0,0
F,,378.61,4.59,0.0,IC50,=,11.0,nM,C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,39.0,1
F,,438.54,5.79,1.0,IC50,=,8600.0,nM,CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1nc2cc(C)ccc2o1,8600.0,0
F,,496.57,5.2,1.0,IC50,>,10000.0,nM,CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1nc2cc(CC(=O)OC)ccc2o1,10000.0,0
F,,472.98,6.44,1.0,IC50,=,3900.0,nM,CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1nc2cc(Cl)cc(C)c2o1,3900.0,0
B,,2620.2,,,IC50,=,62.02,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)C1)C(=O)O,62.02,1
B,,444.58,3.95,0.0,IC50,>,60000.0,nM,Cc1ccc(S(=O)(=O)N(C)c2ccccc2N(C)S(=O)(=O)c2ccc(C)cc2)cc1,60000.0,0
F,,391.56,2.51,0.0,IC50,=,6.08,nM,CN(C[C@H]1Cc2c(cccc2N2CCNCC2)CN1)[C@H]1CCCc2cccnc21,6.08,1
B,,442.53,6.19,1.0,IC50,=,14600.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccc(C(F)(F)F)cc2)sc2c1C(C)CCC2,14600.0,0
F,,405.59,2.86,0.0,IC50,=,32.0,nM,CN1Cc2cccc(N3CCNCC3)c2C[C@@H]1CN(C)[C@H]1CCCc2cccnc21,32.0,1
F,,511.72,4.11,1.0,IC50,=,5.0,nM,NCCCn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21,5.0,1
